[SPEAKER] [SYSTEM] [i] [WER] S:[numSubstitutions], I:[numInsertions], D:[numDeletions]
S-29A Google 4 26.680672268907564 S:41, I:6, D:80
S-29A Google 5 23.046875 S:23, I:2, D:34
S-29A Google 6 17.24137931034483 S:0, I:0, D:5
S-29A Google 7 18.91891891891892 S:6, I:1, D:7
S-29A Google 8 18.055555555555557 S:4, I:0, D:9
S-29A Google 9 45.714285714285715 S:6, I:2, D:8
S-29A Google 10 22.033898305084747 S:7, I:1, D:5
S-29A Google 11 19.565217391304348 S:2, I:0, D:7
S-29A Kaldi 0 12.931034482758621 S:19, I:4, D:7
S-29A Kaldi 1 13.636363636363637 S:19, I:3, D:14
S-29A Kaldi 2 10.112359550561798 S:16, I:2, D:9
S-29A Kaldi 3 10.380622837370241 S:22, I:2, D:6
S-29A Kaldi 4 10.92436974789916 S:29, I:11, D:12
S-29A Kaldi 5 10.15625 S:14, I:3, D:9
S-29A Kaldi 6 10.344827586206897 S:1, I:2, D:0
S-29A Kaldi 7 16.216216216216218 S:8, I:3, D:1
S-29A Kaldi 8 13.88888888888889 S:6, I:2, D:2
S-29A Kaldi 9 8.571428571428571 S:1, I:0, D:2
S-29A Kaldi 10 8.474576271186441 S:5, I:0, D:0
S-29A Kaldi 11 30.434782608695652 S:9, I:0, D:5
S-22B Google 0 41.9811320754717 S:34, I:2, D:53
S-22B Google 1 33.333333333333336 S:28, I:4, D:44
S-22B Google 2 36.61971830985915 S:99, I:8, D:101
S-22B Google 3 36.8421052631579 S:29, I:1, D:61
S-22B Google 4 43.24324324324324 S:54, I:1, D:89
S-22B Google 5 38.73626373626374 S:51, I:4, D:86
S-22B Google 6 51.515151515151516 S:7, I:0, D:10
S-22B Google 7 26.875 S:22, I:2, D:19
S-22B Google 8 33.789954337899545 S:32, I:1, D:41
S-22B Google 9 25.0 S:2, I:0, D:9
S-22B Google 10 30.65326633165829 S:31, I:2, D:28
S-22B Google 11 40.298507462686565 S:39, I:4, D:38
S-22B Kaldi 0 22.169811320754718 S:27, I:4, D:16
S-22B Kaldi 1 19.736842105263158 S:29, I:8, D:8
S-22B Kaldi 2 20.774647887323944 S:67, I:21, D:30
S-22B Kaldi 3 17.408906882591094 S:23, I:6, D:14
S-22B Kaldi 4 21.92192192192192 S:34, I:5, D:34
S-22B Kaldi 5 17.582417582417584 S:35, I:13, D:16
S-22B Kaldi 6 27.272727272727273 S:4, I:0, D:5
S-22B Kaldi 7 17.5 S:15, I:4, D:9
S-22B Kaldi 8 16.438356164383563 S:22, I:3, D:11
S-22B Kaldi 9 11.363636363636363 S:2, I:1, D:2
S-22B Kaldi 10 19.597989949748744 S:28, I:3, D:8
S-22B Kaldi 11 17.91044776119403 S:23, I:6, D:7
S-6B Google 0 52.63157894736842 S:40, I:1, D:29
S-6B Google 1 40.0 S:43, I:2, D:33
S-6B Google 2 29.6028880866426 S:48, I:2, D:32
S-6B Google 3 40.0 S:39, I:2, D:35
S-6B Google 4 24.324324324324323 S:54, I:7, D:38
S-6B Google 5 26.21564482029598 S:61, I:9, D:54
S-6B Kaldi 0 42.857142857142854 S:33, I:9, D:15
S-6B Kaldi 1 31.28205128205128 S:32, I:11, D:18
S-6B Kaldi 2 13.35740072202166 S:21, I:4, D:12
S-6B Kaldi 3 24.210526315789473 S:24, I:9, D:13
S-6B Kaldi 4 13.267813267813267 S:30, I:13, D:11
S-6B Kaldi 5 9.090909090909092 S:21, I:9, D:13
S-16D Google 0 21.453287197231834 S:43, I:2, D:17
S-16D Google 1 18.16283924843424 S:44, I:2, D:41
S-16D Google 2 20.37037037037037 S:24, I:4, D:27
S-16D Google 3 17.558886509635975 S:45, I:3, D:34
S-16D Google 4 17.80821917808219 S:37, I:2, D:26
S-16D Google 5 15.789473684210526 S:27, I:1, D:14
S-16D Google 6 32.38095238095238 S:15, I:0, D:19
S-16D Google 7 19.148936170212767 S:6, I:1, D:2
S-16D Google 8 19.65811965811966 S:11, I:3, D:9
S-16D Google 9 19.047619047619047 S:1, I:0, D:3
S-16D Google 10 29.72972972972973 S:7, I:1, D:3
S-16D Google 11 14.084507042253522 S:4, I:0, D:6
S-16D Google 12 15.384615384615385 S:3, I:0, D:3
S-16D Kaldi 0 17.993079584775085 S:30, I:10, D:12
